code,system
D201800,readv2
D201z00,readv2
D201.00,readv2
D20X.00,readv2
D201211,readv2
D201111,readv2
D201500,readv2
D200211,readv2
D201600,readv2
D201612,readv2
D200111,readv2
D200.13,readv2
D200311,readv2
D201700,readv2
D203.00,readv2
D200100,readv2
D200.15,readv2
D200200,readv2
D201611,readv2
D200011,readv2
D203000,readv2
D60,readv2
D201400,readv2
D201412,readv2
D20z.00,readv2
D201200,readv2
D204.00,readv2
D200400,readv2
D201100,readv2
D201311,readv2
D200.00,readv2
D200y00,readv2
D61,readv2
D201.11,readv2
D201z14,readv2
D201z13,readv2
D201000,readv2
D202.00,readv2
D200314,readv2
D200312,readv2
D200000,readv2
D200313,readv2
D201z12,readv2
D200300,readv2
D20..00,readv2
57114.0,readv2
69269.0,readv2
5823.0,readv2
69379.0,readv2
57859.0,readv2
68087.0,readv2
938.0,readv2
69027.0,readv2
37320.0,readv2
30994.0,readv2
31774.0,readv2
15658.0,readv2
107828.0,readv2
34754.0,readv2
70128.0,readv2
72104.0,readv2
61326.0,readv2
21723.0,readv2
15422.0,readv2
34953.0,readv2
44913.0,readv2
69061.0,readv2
64625.0,readv2
65502.0,readv2
7225.0,readv2
32715.0,readv2
47438.0,readv2
47620.0,readv2
43166.0,readv2
16108.0,readv2
43825.0,readv2
109273.0,readv2
71965.0,readv2
61462.0,readv2
31275.0,readv2
65351.0,readv2
41142.0,readv2
40244.0,readv2
66239.0,readv2
72252.0,readv2
31491.0,readv2
102848.0,readv2
32900.0,readv2